event_name,event_type,reliability
bn221109533,SGR,1.0
bn220709626,SGR,1.0
bn221204313,SGR,1.0
bn160727543,SGR,1.0
bn220626269,SGR,1.0
bn220809210,SGR,1.0
bn140918038,SGR,1.0
bn221010283,SGR,1.0
bn220103097,SGR,1.0
bn220111271,SGR,1.0
bn211113451,SGR,1.0
bn220526445,SGR,1.0
bn220526568,SGR,1.0
bn130617411,SGR,1.0
bn090122551,SGR,1.0
bn090122684,SGR,1.0
bn090222540,SGR,1.0
bn090212968,SGR,1.0
bn090209271,SGR,1.0
bn090208682,SGR,1.0
bn090203805,SGR,1.0
bn090203206,SGR,1.0
bn090409351,SGR,1.0
bn090403761,SGR,1.0
bn090403592,SGR,1.0
bn090122129,SGR,1.0
bn090401093,SGR,1.0
bn081004050,SGR,1.0
bn090122491,SGR,1.0
bn231111899,SGR,1.0
bn220423109,SGR,1.0
bn210827223,SGR,1.0
bn211011320,SGR,1.0
bn211219688,SGR,1.0
bn211219558,SGR,1.0
bn211209414,SGR,1.0
bn220124731,SGR,1.0
bn220523729,SGR,1.0
bn220212892,SGR,1.0
bn111220138,SGR,1.0
bn220403928,SGR,1.0
bn210425182,SGR,1.0
bn200204518,SGR,1.0
bn200203156,SGR,1.0
bn200203861,SGR,1.0
bn170516327,SGR,1.0
bn171019043,SGR,1.0
bn180205847,SGR,1.0
bn180206523,SGR,1.0
bn180206310,SGR,1.0
bn100406380,SGR,1.0
bn221014374,SGR,1.0
bn181102983,SGR,1.0
bn230202141,SGR,1.0
bn180705548,SGR,1.0
bn180705561,SGR,1.0
bn220225519,SGR,1.0
bn200919400,SGR,1.0
bn200203137,SGR,1.0
bn230825046,SGR,1.0
bn210519807,SGR,1.0
bn110107970,SGR,1.0
bn230317495,SGR,1.0
bn120207380,SGR,1.0
bn221225015,SGR,1.0
bn201121419,SGR,1.0
bn230224624,SGR,1.0
bn170503640,SGR,1.0
bn221216847,SGR,1.0
bn221218046,SGR,1.0
bn150403723,SGR,1.0
bn230224899,SGR,1.0
bn231002202,SGR,1.0
bn221229206,SGR,1.0
bn221218756,SGR,1.0
bn230518167,SGR,1.0
bn170505406,SGR,1.0
bn140429551,SGR,1.0
bn100326867,SGR,1.0
bn090804852,SGR,1.0
bn081106241,SGR,1.0
bn081129027,SGR,1.0
bn221021720,SGR,1.0
bn230228885,SGR,1.0
bn221114616,SGR,1.0
bn230323697,SGR,1.0
bn230223997,SGR,1.0
bn221216827,SGR,1.0
bn210124025,SGR,1.0
bn201213772,SGR,1.0
bn110714533,SGR,1.0
bn230228689,SGR,1.0
bn201128270,SGR,1.0
bn240209440,SGR,1.0
bn210106007,SGR,1.0
bn220827687,SGR,1.0
bn230321259,SGR,1.0
bn130913625,SGR,1.0
bn130913757,SGR,1.0
bn110810685,SGR,1.0
bn201213162,SGR,1.0
bn201123719,SGR,1.0
bn210217341,SGR,1.0
bn201105099,SGR,1.0
bn110221029,SGR,1.0
bn110217330,SGR,1.0
bn210106216,SGR,1.0
bn210213417,SGR,1.0
bn110807970,SGR,1.0
bn110623612,SGR,1.0
bn110209218,SGR,1.0
bn150715817,SGR,1.0
bn150715759,SGR,1.0
bn110616881,SGR,1.0
bn150813665,SGR,1.0
bn200801842,SGR,1.0
bn130118345,SGR,1.0
bn130507091,SGR,1.0
bn150828034,SGR,1.0
bn211002256,SGR,1.0
bn130702409,SGR,1.0
bn120728516,SGR,1.0
bn210924886,SGR,1.0
bn111225444,SGR,1.0
bn111112325,SGR,1.0
bn221013295,SGR,1.0
bn110531601,SGR,1.0
bn130113156,SGR,1.0
bn220423354,SGR,1.0
bn150225452,SGR,1.0
bn220117069,SGR,1.0
bn221110377,SGR,1.0
bn220112188,SGR,1.0
bn220112238,SGR,1.0
bn221012709,SGR,1.0
bn220113437,SGR,1.0
bn210706160,SGR,1.0
bn220115345,SGR,1.0
bn221002482,SGR,1.0
bn220115296,SGR,1.0
bn160709704,SGR,1.0
bn150223068,SGR,1.0
bn220111765,SGR,1.0
bn221014499,SGR,1.0
bn221118515,SGR,1.0
bn220105296,SGR,1.0
bn220110664,SGR,1.0
bn221005649,SGR,1.0
bn221012533,SGR,1.0
bn220112097,SGR,1.0
bn220109395,SGR,1.0
bn221108826,SGR,1.0
bn150301312,SGR,1.0
bn221114877,SGR,1.0
bn221014098,SGR,1.0
bn220114477,SGR,1.0
bn191104527,SGR,1.0
bn200718350,SGR,1.0
bn200718364,SGR,1.0
bn200718619,SGR,1.0
bn220114486,SGR,1.0
bn191104651,SGR,1.0
bn221011591,SGR,1.0
bn220105251,SGR,1.0
bn220113284,SGR,1.0
bn220112748,SGR,1.0
bn221014704,SGR,1.0
bn221014521,SGR,1.0
bn221011445,SGR,1.0
bn220117061,SGR,1.0
bn220109319,SGR,1.0
bn220112087,SGR,1.0
bn160518625,SGR,1.0
bn200427783,SGR,1.0
bn200520908,SGR,1.0
bn200520591,SGR,1.0
bn200427955,SGR,1.0
bn160704607,SGR,1.0
bn160522009,SGR,1.0
bn160520905,SGR,1.0
bn160520682,SGR,1.0
bn160519024,SGR,1.0
bn160518820,SGR,1.0
bn160518709,SGR,1.0
bn160518648,SGR,1.0
bn210927824,SGR,1.0
bn191104056,SGR,1.0
bn191104185,SGR,1.0
bn191104854,SGR,1.0
bn191104992,SGR,1.0
bn191105258,SGR,1.0
bn191105304,SGR,1.0
bn191114827,SGR,1.0
bn191115867,SGR,1.0
bn200427768,SGR,1.0
bn200427776,SGR,1.0
bn200427818,SGR,1.0
bn200427885,SGR,1.0
bn200427905,SGR,1.0
bn200427916,SGR,1.0
bn200427963,SGR,1.0
bn200427976,SGR,1.0
bn200427988,SGR,1.0
bn200428014,SGR,1.0
bn200428028,SGR,1.0
bn200428035,SGR,1.0
bn200428044,SGR,1.0
bn200428083,SGR,1.0
bn200428158,SGR,1.0
bn200428173,SGR,1.0
bn200428248,SGR,1.0
bn200428410,SGR,1.0
bn200429866,SGR,1.0
bn200519773,SGR,1.0
bn210911127,SGR,1.0
bn191104448,SGR,1.0
bn210915818,SGR,1.0
bn210914594,SGR,1.0
bn220115026,SGR,1.0
bn220113808,SGR,1.0
bn220113685,SGR,1.0
bn221013599,SGR,1.0
bn220115334,SGR,1.0
bn220113446,SGR,1.0
bn220115359,SGR,1.0
bn221012635,SGR,1.0
bn221012599,SGR,1.0
bn220113379,SGR,1.0
bn221012773,SGR,1.0
bn220113249,SGR,1.0
bn221013646,SGR,1.0
bn221012646,SGR,1.0
bn220115548,SGR,1.0
bn221013862,SGR,1.0
bn220115724,SGR,1.0
bn221012667,SGR,1.0
bn220115800,SGR,1.0
bn221012674,SGR,1.0
bn220112832,SGR,1.0
bn220115809,SGR,1.0
bn220112361,SGR,1.0
bn220115858,SGR,1.0
bn220111712,SGR,1.0
bn220116450,SGR,1.0
bn221012653,SGR,1.0
bn220113817,SGR,1.0
bn221001869,SGR,1.0
bn221012736,SGR,1.0
bn210712708,SGR,1.0
bn220116469,SGR,1.0
bn220116486,SGR,1.0
bn220111374,SGR,1.0
bn221119780,SGR,1.0
bn210624107,SGR,1.0
bn221014685,SGR,1.0
bn221119912,SGR,1.0
bn221012977,SGR,1.0
bn221014719,SGR,1.0
bn221014556,SGR,1.0
bn210912845,SGR,1.0
bn210129886,SGR,1.0
bn210912580,SGR,1.0
bn210912873,SGR,1.0
bn210912972,SGR,1.0
bn210913019,SGR,1.0
bn210913145,SGR,1.0
bn211011500,SGR,1.0
bn211008665,SGR,1.0
bn210129641,SGR,1.0
bn211001003,SGR,1.0
bn210124325,SGR,1.0
bn210930862,SGR,1.0
bn210930063,SGR,1.0
bn210124867,SGR,1.0
bn210128983,SGR,1.0
bn210925127,SGR,1.0
bn210922070,SGR,1.0
bn210129441,SGR,1.0
bn210129292,SGR,1.0
bn210918444,SGR,1.0
bn210130112,SGR,1.0
bn221014711,SGR,1.0
bn221015093,SGR,1.0
bn220111325,SGR,1.0
bn220116590,SGR,1.0
bn220116782,SGR,1.0
bn220114949,SGR,1.0
bn221017469,SGR,1.0
bn220115002,SGR,1.0
bn221017679,SGR,1.0
bn221013037,SGR,1.0
bn220109206,SGR,1.0
bn221017691,SGR,1.0
bn220108612,SGR,1.0
bn220106108,SGR,1.0
bn220206219,SGR,1.0
bn211229695,SGR,1.0
bn221120087,SGR,1.0
bn211226538,SGR,1.0
bn211225932,SGR,1.0
bn210912628,SGR,1.0
bn221017553,SGR,1.0
bn160623809,SGR,1.0
bn220110123,SGR,1.0
bn210130876,SGR,1.0
bn220110189,SGR,1.0
bn220104189,SGR,1.0
bn210130008,SGR,1.0
bn210129116,SGR,1.0
bn210216931,SGR,1.0
bn191004376,SGR,1.0
bn160620637,SGR,1.0
bn221109793,SGR,1.0
bn221109712,SGR,1.0
