filename,category,TRIG_SIG,class
SFLARE_bn140204646,train,7.8,SFLARE
GRB_bn101208498,other,0.0,GRB
TGF_bn190821888,test,5.2,TGF
SFLARE_bn240208118,train,6.5,SFLARE
SFLARE_bn240204601,train,5.8,SFLARE
TGF_bn221114697,train,5.0,TGF
GRB_bn200703341,other,0.0,GRB
SFLARE_bn220520007,test,6.8,SFLARE
GRB_bn140129499,other,0.0,GRB
SGR_bn211226538,train,10.2,SGR
TGF_bn100901124,train,5.5,TGF
GRB_bn200301320,other,0.0,GRB
GRB_bn100224112,test,5.9,GRB
GRB_bn150403913,train,4.6,GRB
GRB_bn080714425,other,0.0,GRB
TGF_bn151209879,test,6.9,TGF
SGR_bn220114673,test,7.8,SGR
SFLARE_bn141016503,other,0.0,SFLARE
GRB_bn090807832,other,0.0,GRB
GRB_bn120603439,other,0.0,GRB
TGF_bn170911550,train,4.7,TGF
SFLARE_bn240211945,other,0.0,SFLARE
TGF_bn160315438,other,0.0,TGF
TGF_bn101012231,train,4.9,TGF
SFLARE_bn110309971,test,5.8,SFLARE
SGR_bn160623838,train,12.8,SGR
SGR_bn220526445,train,8.2,SGR
TGF_bn231012486,train,4.9,TGF
TGF_bn100331421,test,7.0,TGF
TGF_bn200910819,train,6.8,TGF
GRB_bn210620204,train,5.5,GRB
GRB_bn110801335,other,0.0,GRB
GRB_bn160222070,train,4.7,GRB
GRB_bn150613420,other,0.0,GRB
GRB_bn210402920,train,5.0,GRB
TGF_bn150209374,test,5.6,TGF
GRB_bn101101899,train,4.5,GRB
TGF_bn150423749,train,6.8,TGF
TGF_bn120425260,other,0.0,TGF
SGR_bn210710777,train,9.8,SGR
SFLARE_bn221215066,train,5.9,SFLARE
TGF_bn230729220,other,0.0,TGF
SGR_bn210913345,train,13.5,SGR
GRB_bn101112984,train,5.3,GRB
SFLARE_bn141026756,train,4.9,SFLARE
SFLARE_bn100508840,train,5.7,SFLARE
SFLARE_bn141018711,train,4.9,SFLARE
GRB_bn120220210,other,0.0,GRB
SGR_bn200427843,train,7.4,SGR
SFLARE_bn220501344,train,5.5,SFLARE
TGF_bn121021959,train,7.0,TGF
SFLARE_bn130421669,test,5.8,SFLARE
SGR_bn210718225,train,7.9,SGR
SFLARE_bn121124567,train,4.8,SFLARE
TGF_bn180906075,other,0.0,TGF
GRB_bn160326062,train,4.5,GRB
TGF_bn170609358,train,5.8,TGF
SGR_bn160623809,test,31.3,SGR
TGF_bn141008188,test,5.0,TGF
GRB_bn230225460,test,4.6,GRB
GRB_bn190727846,train,5.2,GRB
TGF_bn201030335,train,8.0,TGF
GRB_bn090513941,train,4.7,GRB
GRB_bn160104475,other,0.0,GRB
SFLARE_bn110306613,other,0.0,SFLARE
GRB_bn180605458,train,4.8,GRB
GRB_bn140511095,train,10.7,GRB
SGR_bn221010283,train,9.7,SGR
GRB_bn090405663,other,0.0,GRB
GRB_bn100517132,train,4.5,GRB
SGR_bn200203156,train,8.7,SGR
GRB_bn081226156,test,5.5,GRB
TGF_bn100214868,other,0.0,TGF
GRB_bn160406503,other,0.0,GRB
SGR_bn170503640,test,13.2,SGR
GRB_bn110307972,train,5.2,GRB
GRB_bn140619490,other,0.0,GRB
SGR_bn211225932,train,9.3,SGR
TGF_bn140924695,train,5.9,TGF
TGF_bn170328470,train,7.4,TGF
GRB_bn160106948,train,5.1,GRB
SFLARE_bn230110108,train,5.7,SFLARE
