event_name,event_type
bn120403857,GRB
bn120227725,GRB
bn230524357,GRB
bn141205018,GRB
bn180630467,GRB
bn170116238,GRB
bn091026550,GRB
bn150312403,GRB
bn110520302,GRB
bn121216419,GRB
bn200107810,GRB
bn101227195,GRB
bn220430900,GRB
bn160326062,GRB
bn231129799,GRB
bn220413167,GRB
bn101116481,GRB
bn220921473,GRB
bn170130697,GRB
bn110205027,GRB
bn110825265,GRB
bn160919613,GRB
bn120830212,GRB
bn140323433,GRB
bn220415645,GRB
bn100325246,GRB
bn100507577,GRB
bn140518709,GRB
bn130623488,GRB
bn231031144,GRB
bn141004150,GRB
bn101024486,GRB
bn200119692,GRB
bn110716018,GRB
bn110819665,GRB
bn190731943,GRB
bn090810659,GRB
bn160406570,GRB
bn130804023,GRB
bn240216456,GRB
bn120114433,GRB
bn230307656,GRB
bn180614327,GRB
bn141022087,GRB
bn100112418,GRB
bn121116459,GRB
bn110212550,GRB
bn141221897,GRB
bn150602840,GRB
bn190825171,GRB
bn080714425,GRB
bn091117080,GRB
bn200809654,GRB
bn110517453,GRB
bn140712973,GRB
bn201227635,GRB
bn090304216,GRB
bn151026523,GRB
bn100604287,GRB
bn140213807,GRB
bn090922605,GRB
bn190422284,GRB
bn090513941,GRB
bn130425327,GRB
bn160325291,GRB
bn091102607,GRB
bn231214850,GRB
bn100926595,GRB
bn141022061,GRB
bn170113420,GRB
bn120827216,GRB
bn100517639,GRB
bn090802666,GRB
bn110618366,GRB
bn090516137,GRB
bn130320560,GRB
bn201104001,GRB
bn120711115,GRB
bn090927422,GRB
bn171212434,GRB
bn140616165,GRB
bn090606471,GRB
bn230709735,GRB
bn130505955,GRB
bn200120962,GRB
bn080717543,GRB
bn100429999,GRB
bn230415474,GRB
bn120107384,GRB
bn131204937,GRB
bn130327350,GRB
bn220730659,GRB
bn090725838,GRB
bn140322424,GRB
bn210520797,GRB
bn150902733,GRB
bn170625692,GRB
bn180804931,GRB
bn140110411,GRB
bn130218261,GRB
bn130420422,GRB
bn171024977,GRB
bn240107803,GRB
bn221201517,GRB
bn240222369,GRB
bn210126417,GRB
bn090719063,GRB
bn180906759,GRB
bn100605774,GRB
bn110316139,GRB
bn231123809,GRB
bn191220589,GRB
bn090524346,GRB
bn150404733,GRB
bn100719311,GRB
bn090819607,GRB
bn180703876,GRB
bn230723194,GRB
bn110911071,GRB
bn131118958,GRB
bn170323775,GRB
bn181128751,GRB
bn181208188,GRB
bn111107035,GRB
bn151003729,GRB
bn090926181,GRB
bn150628767,GRB
bn220124074,GRB
bn120919816,GRB
bn101011707,GRB
bn090625560,GRB
bn160303971,GRB
bn120426090,GRB
bn200629535,GRB
bn130727698,GRB
bn101023951,GRB
bn230715190,GRB
bn201217108,GRB
bn170210116,GRB
bn090924625,GRB
bn090602564,GRB
bn180528371,GRB
bn110411629,GRB
bn150826557,GRB
bn120921877,GRB
bn170126480,GRB
bn090711850,GRB
bn091017985,GRB
bn101213849,GRB
bn220830319,GRB
bn150805445,GRB
bn140612294,GRB
bn151117442,GRB
bn150204272,GRB
bn110818860,GRB
bn170127067,GRB
bn140508179,GRB
bn200803149,GRB
bn130523198,GRB
bn180727594,GRB
bn131105087,GRB
bn131030653,GRB
bn150403913,GRB
bn140422194,GRB
bn081204004,GRB
bn141016897,GRB
bn090717034,GRB
bn121217313,GRB
bn110521478,GRB
bn191031780,GRB
bn111003465,GRB
bn230729294,GRB
bn110929187,GRB
bn210603907,GRB
bn160528276,GRB
bn150802127,GRB
bn130406288,GRB
bn170912273,GRB
bn141013803,GRB
bn190507712,GRB
bn170727841,GRB
bn210119121,GRB
bn150228981,GRB
bn150206285,GRB
bn151231443,GRB
bn171025913,GRB
bn211124104,GRB
bn140115863,GRB
bn120119229,GRB
bn120304061,GRB
bn150514774,GRB
bn200630076,GRB
bn091231206,GRB
bn160424492,GRB
bn120511638,GRB
bn130730243,GRB
bn130304658,GRB
bn190422957,GRB
bn080714745,GRB
bn140716436,GRB
bn130701060,GRB
bn130617564,GRB
bn160912350,GRB
bn150827785,GRB
bn210727410,GRB
bn200901158,GRB
bn200617679,GRB
bn190119249,GRB
bn171112868,GRB
bn200126466,GRB
bn230709902,GRB
bn120909070,GRB
bn100225115,GRB
bn100916779,GRB
bn141031304,GRB
bn200219317,GRB
bn140528837,GRB
bn101208498,GRB
bn130816074,GRB
bn140929677,GRB
bn140710901,GRB
bn150306993,GRB
bn120210650,GRB
bn110207959,GRB
bn111015427,GRB
bn160422499,GRB
bn130206817,GRB
bn230815451,GRB
bn150301818,GRB
bn180620660,GRB
bn090510325,GRB
bn150821406,GRB
bn220610295,GRB
bn140330180,GRB
bn201120442,GRB
bn091031500,GRB
bn081008832,GRB
bn120220210,GRB
bn141222298,GRB
bn161001045,GRB
bn130127299,GRB
bn110319815,GRB
bn110801335,GRB
bn170416583,GRB
bn150702998,GRB
bn080916406,GRB
bn131028096,GRB
bn210123305,GRB
bn111009282,GRB
bn220725563,GRB
bn150824079,GRB
bn090519462,GRB
bn080916009,GRB
bn100825287,GRB
bn120316008,GRB
bn111220486,GRB
bn140928437,GRB
bn160827586,GRB
bn160829334,GRB
bn110205588,GRB
bn140506880,GRB
bn150425617,GRB
bn121112806,GRB
bn201021852,GRB
bn101224578,GRB
bn120510900,GRB
bn130228212,GRB
bn240205926,GRB
bn090213236,GRB
bn081129161,GRB
bn230704821,GRB
bn120331055,GRB
bn090720710,GRB
bn161020024,GRB
bn210315716,GRB
bn220606044,GRB
bn100715477,GRB
bn221108472,GRB
bn081109293,GRB
bn210805002,GRB
bn120728934,GRB
bn171010875,GRB
bn100201588,GRB
bn090308734,GRB
bn130515056,GRB
bn171029020,GRB
bn120117291,GRB
bn110227009,GRB
bn180728728,GRB
bn140605377,GRB
bn150601904,GRB
bn150913161,GRB
bn220803402,GRB
bn190110726,GRB
bn110930564,GRB
bn150422294,GRB
bn221022612,GRB
bn210308838,GRB
bn220320194,GRB
bn220910627,GRB
bn130906435,GRB
bn200623752,GRB
bn190510120,GRB
bn100204566,GRB
bn141215560,GRB
bn120521380,GRB
bn100313288,GRB
bn141122875,GRB
bn150508945,GRB
bn121127914,GRB
bn160316139,GRB
bn211104765,GRB
bn200411187,GRB
bn170209048,GRB
bn120420249,GRB
bn220622394,GRB
bn090920035,GRB
bn230915288,GRB
bn090412061,GRB
bn080831053,GRB
bn100620119,GRB
bn200714774,GRB
bn210714331,GRB
bn110319628,GRB
bn130830921,GRB
bn150627183,GRB
bn231203293,GRB
bn210925056,GRB
bn210807955,GRB
bn221103285,GRB
bn161230298,GRB
bn101014175,GRB
bn150718656,GRB
bn220408311,GRB
bn220130968,GRB
bn090805622,GRB
bn160905471,GRB
bn110706477,GRB
bn230204130,GRB
bn081215880,GRB
bn210201567,GRB
bn210923124,GRB
bn150922883,GRB
bn140608153,GRB
bn180404091,GRB
bn091207333,GRB
bn120709883,GRB
bn100819498,GRB
bn150923864,GRB
bn141012773,GRB
bn121205507,GRB
bn101013412,GRB
bn090309767,GRB
bn091015129,GRB
bn130121835,GRB
bn160416022,GRB
bn101227536,GRB
bn150721732,GRB
bn201128746,GRB
bn210706571,GRB
bn110322558,GRB
bn140115899,GRB
bn100424729,GRB
bn240215828,GRB
bn120314412,GRB
bn150301045,GRB
bn180416340,GRB
bn160223670,GRB
bn150820880,GRB
bn130919985,GRB
bn160227831,GRB
bn120212353,GRB
bn150322066,GRB
bn231118720,GRB
bn180605458,GRB
bn151114645,GRB
bn100204024,GRB
bn150313657,GRB
bn180807097,GRB
bn150830128,GRB
bn220831664,GRB
bn121027038,GRB
bn210113379,GRB
bn130722021,GRB
bn230906538,GRB
bn081226509,GRB
bn150630958,GRB
bn181020792,GRB
bn120801920,GRB
bn181026540,GRB
bn220711675,GRB
bn190324947,GRB
bn161119633,GRB
bn170906030,GRB
bn141102536,GRB
bn090706283,GRB
bn230405832,GRB
bn171119992,GRB
bn170115743,GRB
bn170208758,GRB
bn150604284,GRB
bn130403866,GRB
bn120203812,GRB
bn170629537,GRB
bn090630311,GRB
bn090320418,GRB
bn150908408,GRB
bn170308221,GRB
bn210822273,GRB
bn210211363,GRB
bn120304248,GRB
bn110125894,GRB
bn150222450,GRB
bn100718160,GRB
bn180718201,GRB
bn161128216,GRB
bn230915236,GRB
bn100918863,GRB
bn120728434,GRB
bn190320052,GRB
bn110817191,GRB
bn141112539,GRB
bn210801581,GRB
bn120701654,GRB
bn090427644,GRB
bn110228011,GRB
bn190607071,GRB
bn120926753,GRB
bn120919309,GRB
bn120319983,GRB
bn190205938,GRB
bn150523396,GRB
bn110511616,GRB
bn221107058,GRB
bn200612201,GRB
bn120323162,GRB
bn170424425,GRB
bn111024722,GRB
bn120611108,GRB
bn150305724,GRB
bn220704575,GRB
bn140817229,GRB
bn240318180,GRB
bn100517132,GRB
bn110720177,GRB
bn130928537,GRB
bn151111356,GRB
bn121014638,GRB
bn220826497,GRB
bn101004426,GRB
bn240305409,GRB
bn230628067,GRB
bn090928646,GRB
bn150418819,GRB
bn120719146,GRB
bn081118876,GRB
bn090320045,GRB
bn090623107,GRB
bn230304624,GRB
bn111103948,GRB
bn210228058,GRB
bn230116374,GRB
bn090620901,GRB
bn090227310,GRB
bn141011467,GRB
bn200228291,GRB
bn150324164,GRB
bn151210041,GRB
bn121109338,GRB
bn220727192,GRB
bn210904866,GRB
bn130404840,GRB
bn090610723,GRB
bn090701225,GRB
bn090328401,GRB
bn190531840,GRB
bn180124392,GRB
bn190824616,GRB
bn220820998,GRB
bn210704684,GRB
bn150228845,GRB
bn110709862,GRB
bn170801690,GRB
bn200412290,GRB
bn150219522,GRB
bn220831581,GRB
bn221226945,GRB
bn131113483,GRB
bn090327404,GRB
bn160131116,GRB
bn180401846,GRB
bn220725244,GRB
bn210228277,GRB
bn110420946,GRB
bn140721336,GRB
bn200105914,GRB
bn140329272,GRB
bn180122129,GRB
bn150817251,GRB
bn150222832,GRB
bn230903724,GRB
bn150923429,GRB
bn100907751,GRB
bn131211510,GRB
bn160411062,GRB
bn210519277,GRB
bn130509078,GRB
bn141230871,GRB
bn130609902,GRB
bn161213295,GRB
bn220921462,GRB
bn161004964,GRB
bn240303837,GRB
bn150522433,GRB
bn110118857,GRB
bn110625579,GRB
bn150708339,GRB
bn120121101,GRB
bn170510217,GRB
bn150523690,GRB
bn211019250,GRB
bn140619490,GRB
bn170607946,GRB
bn101205309,GRB
bn100625773,GRB
bn180524416,GRB
bn090926914,GRB
bn170323058,GRB
bn140710537,GRB
bn090907017,GRB
bn181222279,GRB
bn150423285,GRB
bn190519309,GRB
bn200320414,GRB
bn101224998,GRB
bn110721200,GRB
bn111107076,GRB
bn150712846,GRB
bn190712018,GRB
bn170125102,GRB
bn220305676,GRB
bn110609425,GRB
bn180821653,GRB
bn101206036,GRB
bn120919052,GRB
bn140706815,GRB
bn120612687,GRB
bn170614505,GRB
bn150603105,GRB
bn231222299,GRB
bn110702187,GRB
bn150201574,GRB
bn150201590,GRB
bn190810675,GRB
bn090608052,GRB
bn100118100,GRB
bn111120556,GRB
bn210102861,GRB
bn120926426,GRB
bn130627372,GRB
bn101102840,GRB
bn141003564,GRB
bn140430716,GRB
bn091112737,GRB
bn180816088,GRB
bn230724049,GRB
bn140911012,GRB
bn231114388,GRB
bn120222119,GRB
bn090718762,GRB
bn190411407,GRB
bn140110263,GRB
bn150726877,GRB
bn231014102,GRB
bn100805845,GRB
bn210318131,GRB
bn090528173,GRB
bn081231140,GRB
bn120908873,GRB
bn141128962,GRB
bn150118409,GRB
bn180606730,GRB
bn150527662,GRB
bn141121414,GRB
bn100504806,GRB
bn100510810,GRB
bn240115698,GRB
bn111025078,GRB
bn131216081,GRB
bn150711766,GRB
bn210712405,GRB
bn101128322,GRB
bn171227000,GRB
bn170718152,GRB
bn180910352,GRB
bn121225417,GRB
bn160225809,GRB
bn180809485,GRB
bn221016986,GRB
bn100910818,GRB
bn090427688,GRB
bn101219686,GRB
bn120707800,GRB
bn221216473,GRB
bn110409179,GRB
bn200112395,GRB
bn240320831,GRB
bn090829672,GRB
bn150214293,GRB
bn081222204,GRB
bn141110232,GRB
bn220305481,GRB
bn160310291,GRB
bn190821716,GRB
bn161206064,GRB
bn110616648,GRB
bn110509142,GRB
bn120119354,GRB
bn081213173,GRB
bn130614997,GRB
bn230803977,GRB
bn230425230,GRB
bn130819394,GRB
bn231001015,GRB
bn120506128,GRB
bn091101143,GRB
bn141031998,GRB
bn180724807,GRB
bn211116586,GRB
bn220715934,GRB
bn090626189,GRB
bn231030050,GRB
bn171223818,GRB
bn150805746,GRB
bn111109453,GRB
bn131209547,GRB
bn140919636,GRB
bn111022854,GRB
bn160512199,GRB
bn090108322,GRB
bn210723615,GRB
bn211207416,GRB
bn090129880,GRB
bn160111115,GRB
bn140901821,GRB
bn170106968,GRB
bn150122960,GRB
bn240112742,GRB
bn140701833,GRB
bn230306673,GRB
bn151120349,GRB
bn220627890,GRB
bn220627901,GRB
bn191111347,GRB
bn140720158,GRB
bn110505203,GRB
bn120526303,GRB
bn120429484,GRB
bn140329295,GRB
bn141105358,GRB
bn130112353,GRB
bn081206604,GRB
bn190129515,GRB
bn120711446,GRB
bn200325138,GRB
bn111010660,GRB
bn120811014,GRB
bn090101758,GRB
bn090513916,GRB
bn180718763,GRB
bn211121434,GRB
bn230430368,GRB
bn120710100,GRB
bn091122163,GRB
bn120219563,GRB
bn101214993,GRB
bn130715906,GRB
bn091006360,GRB
bn130701761,GRB
bn151218857,GRB
bn230111797,GRB
bn141209131,GRB
bn191213254,GRB
bn090112332,GRB
bn140223495,GRB
bn170127634,GRB
bn150511362,GRB
bn160625240,GRB
bn150426594,GRB
bn150318521,GRB
bn140511095,GRB
bn150227702,GRB
bn180703949,GRB
bn230911132,GRB
bn111221739,GRB
bn120703726,GRB
bn170910368,GRB
bn181126413,GRB
bn161117066,GRB
bn100306199,GRB
bn110703557,GRB
bn140901262,GRB
bn091123298,GRB
bn161220605,GRB
bn101101899,GRB
bn100517072,GRB
bn160401065,GRB
bn230217912,GRB
bn110904163,GRB
bn201208252,GRB
bn180516229,GRB
bn120830297,GRB
bn140701567,GRB
bn110731465,GRB
bn160709826,GRB
bn090621417,GRB
bn160221993,GRB
bn090509215,GRB
bn101214748,GRB
bn170906039,GRB
bn121029350,GRB
bn100326294,GRB
bn210731931,GRB
bn131102622,GRB
bn081101532,GRB
bn150430015,GRB
bn130406334,GRB
bn191011192,GRB
bn100311518,GRB
bn110921912,GRB
bn100207665,GRB
bn130209961,GRB
bn110920546,GRB
bn150118927,GRB
bn220927234,GRB
bn101002279,GRB
bn180210991,GRB
bn160419637,GRB
bn180423266,GRB
bn150831930,GRB
bn140304849,GRB
bn100619015,GRB
bn140907429,GRB
bn100101028,GRB
bn110509475,GRB
bn210602865,GRB
bn190114873,GRB
bn140405033,GRB
bn101117496,GRB
bn110522633,GRB
bn210502295,GRB
bn100816009,GRB
bn180720933,GRB
bn131006367,GRB
bn101017619,GRB
bn160428412,GRB
bn100325275,GRB
bn160218711,GRB
bn150629564,GRB
bn170621784,GRB
bn120817168,GRB
bn170926782,GRB
bn210622064,GRB
bn090828099,GRB
bn130925164,GRB
bn130925173,GRB
bn120920003,GRB
bn120608489,GRB
bn220101930,GRB
bn210117458,GRB
bn191227723,GRB
bn131008858,GRB
bn230911329,GRB
bn140905454,GRB
bn140628626,GRB
bn180828790,GRB
bn120908938,GRB
bn200816486,GRB
bn100421917,GRB
bn150815604,GRB
bn181029892,GRB
bn160612842,GRB
bn180925407,GRB
bn131021352,GRB
bn200415367,GRB
bn170405777,GRB
bn140311453,GRB
bn130611538,GRB
bn090904058,GRB
bn110725236,GRB
bn100922625,GRB
bn090908341,GRB
bn130907760,GRB
bn121028280,GRB
bn140109877,GRB
bn090909854,GRB
bn120619884,GRB
bn100929916,GRB
bn140511995,GRB
bn130604033,GRB
bn100130729,GRB
bn120412055,GRB
bn151202565,GRB
bn240226236,GRB
bn140711691,GRB
bn211018697,GRB
bn081221681,GRB
bn101227406,GRB
bn180314030,GRB
bn090228204,GRB
bn110909116,GRB
bn100704149,GRB
bn120504945,GRB
bn220612013,GRB
bn220903511,GRB
bn131119781,GRB
bn090307167,GRB
bn110828575,GRB
bn160222070,GRB
bn101021009,GRB
bn091026485,GRB
bn170817529,GRB
bn100826957,GRB
bn120102416,GRB
bn091018957,GRB
bn181010247,GRB
bn100205490,GRB
bn080730786,GRB
bn160603719,GRB
bn150513856,GRB
bn220405258,GRB
bn110730008,GRB
bn220228438,GRB
bn160921087,GRB
bn220915218,GRB
bn090621447,GRB
bn101126198,GRB
bn091010113,GRB
bn240106265,GRB
bn190831693,GRB
bn160819852,GRB
bn130722990,GRB
bn130219197,GRB
bn100730463,GRB
bn160123095,GRB
bn190107050,GRB
bn111203609,GRB
bn130606497,GRB
bn111230819,GRB
bn160315739,GRB
bn181028590,GRB
bn240305162,GRB
bn110410772,GRB
bn160219289,GRB
bn110209165,GRB
bn100304534,GRB
bn110321346,GRB
bn220618761,GRB
bn150203545,GRB
bn091120191,GRB
bn190308923,GRB
bn230204906,GRB
bn131202633,GRB
bn150604434,GRB
bn230707141,GRB
bn120805706,GRB
bn210803497,GRB
bn100727238,GRB
bn150630223,GRB
bn221005757,GRB
bn200319323,GRB
bn100107074,GRB
bn190220844,GRB
bn130707505,GRB
bn171022085,GRB
bn150912443,GRB
bn101216721,GRB
bn100204858,GRB
bn131123543,GRB
bn150422703,GRB
bn130909817,GRB
bn151229285,GRB
bn141223240,GRB
bn130507545,GRB
bn220426285,GRB
bn210807687,GRB
bn150904479,GRB
bn180712651,GRB
bn220907587,GRB
bn090502777,GRB
bn200420106,GRB
bn190511302,GRB
bn120922939,GRB
bn150528656,GRB
bn150324319,GRB
bn120712571,GRB
bn141122087,GRB
bn111114233,GRB
bn151122709,GRB
bn211002740,GRB
bn240215670,GRB
bn161218222,GRB
bn150326542,GRB
bn200224416,GRB
bn140513724,GRB
bn100615083,GRB
bn150415029,GRB
bn220714582,GRB
bn100324172,GRB
bn091126333,GRB
bn141229492,GRB
bn120916085,GRB
bn090426066,GRB
bn131014215,GRB
bn130514560,GRB
bn091127976,GRB
bn140717827,GRB
bn081125496,GRB
bn130325203,GRB
bn151130160,GRB
bn121123442,GRB
bn190217188,GRB
bn100126460,GRB
bn150603823,GRB
bn100323542,GRB
bn090820509,GRB
bn160220059,GRB
bn100820373,GRB
bn081101167,GRB
bn210926869,GRB
bn210606945,GRB
bn181215110,GRB
bn150727793,GRB
